date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:54	26264/26264	---M--	200	added ('OK')	font/woff	etag:%22621f6b5d-6698%22	https://mironmahmud.com/greeny/assets/ltr/fonts/icofont/icofont.woff	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/icofont/icofont.woff	(from https://mironmahmud.com/greeny/assets/ltr/fonts/icofont/icofont.min.css)
13:51:55	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22621f6b5d-20cca%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.eot	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.eot	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:51:55	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22621f6b5d-20cca%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.eot?	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400d41d.eot	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:51:56	76764/76764	---M--	200	added ('OK')	font/woff2	etag:%22621f6b5d-12bdc%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.woff2	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.woff2	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:51:57	90060/90060	---M--	200	added ('OK')	font/woff	etag:%22621f6b5d-15fcc%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.woff	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.woff	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:51:57	134040/134040	---M-Z	200	added ('OK')	font/ttf	etag:W/%22621f6b5d-20b98%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.ttf	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.ttf	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:51:59	747545/747545	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22621f6b5d-b6819%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.svg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-brands-400.svg	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:26	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22621f6b5d-84f2%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.eot?	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400d41d.eot	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:27	13276/13276	---M--	200	added ('OK')	font/woff2	etag:%22621f6b5d-33dc%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.woff2	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.woff2	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:27	16276/16276	---M--	200	added ('OK')	font/woff	etag:%22621f6b5d-3f94%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.woff	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.woff	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:27	33736/33736	---M-Z	200	added ('OK')	font/ttf	etag:W/%22621f6b5d-83c8%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.ttf	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.ttf	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:28	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22621f6b5d-2354a%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.svg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-regular-400.svg	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:29	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22621f6b5d-31916%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.eot	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.eot	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:29	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22621f6b5d-31916%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.eot?	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900d41d.eot	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:30	78196/78196	---M--	200	added ('OK')	font/woff2	etag:%22621f6b5d-13174%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.woff2	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.woff2	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:31	202744/202744	---M-Z	200	added ('OK')	font/ttf	etag:W/%22621f6b5d-317f8%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.ttf	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.ttf	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:32	101652/101652	---M--	200	added ('OK')	font/woff	etag:%22621f6b5d-18d14%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.woff	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.woff	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
13:52:33	918991/918991	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22621f6b5d-e05cf%22	https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.svg	C:/tamplate_user/mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fa-solid-900.svg	(from https://mironmahmud.com/greeny/assets/ltr/fonts/fontawesome/fontawesome.min.css)
